bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_backpressure_inv_to_req_payload,,1303773535.6666667,1302214151.75,10710029.436401203,,,1321391534.0895467,,,,,
p2p_batch_headers_inv_rr,,734055.8929166666,682190.09375,106820.95144055683,1481115,1481115,,117,,0,6,4
p2p_dedupe_ttl_payload_inv,,1201503668.4,1201498848,701591.8106918168,1202901541,1202901541,,11,,0,1,0
p2p_header_announce_gossip,,22353826.42015873,22195331.095238097,723780.1299496756,23572508,23572508,,62,,0,0,0
p2p_header_announce_gossip_hb_1s,,32235098.874464285,32104287.05,417576.4392297032,33783625,33783625,,117,,0,0,0
p2p_header_announce_gossip_relaxed,,22083484.98857143,22287301.333333336,513083.0171704976,23564542,23564542,,62,,0,0,0
p2p_inv_to_req_headers_missing,,34217.72995563792,34232.53845395135,500.55257095279904,,,35041.13893485528,,,,,
p2p_inv_to_req_payload_missing,,32687.13773354921,32442.39557797072,584.7698133691786,,,33649.08407654151,,,,,
p2p_libp2p_e2e_inv_to_resp_headers,,269278.77048990125,268576.82799841143,8154.800896907331,461171,461171,,77436,,0,2882,5753
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,681076.1219047619,672566.3333333333,64090.38469905098,1267556,1267556,,117,,0,6,2
p2p_libp2p_e2e_inv_to_resp_payloads,,404787.00424603175,394474.1666666667,55464.41630232831,647861,647861,,117,,0,4,4
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,692392.4076587302,644791.0305555556,155237.14703002633,1169128,1169128,,117,,0,4,4
p2p_libp2p_rpc_get_headers,,441564.7686507937,421059.2083333334,163584.14029917202,706126,706126,,117,,0,7,4
p2p_libp2p_rpc_get_payloads,,389194.35289682535,371414.2,91571.92909221258,579455,579455,,117,,0,5,2
p2p_quic_rpc_warm_get_headers,,298961.79815476196,284746.725,62703.321698128,497128,497128,,117,,0,0,0
p2p_quic_rpc_warm_get_payloads,,319948.61684523814,302783,90318.86810005557,562425,562425,,117,,0,5,1
p2p_ratelimit_inv_to_req_1rps,,851844418.075,851674353.75,3669222.108282453,,,857880288.4431247,,,,,
p2p_rpc_cold_start_get_headers,,2119189.8626400987,1889238.2996697156,652688.7548976706,2522670,2522670,,10042,1,0.00009957184108334163,394,49
p2p_rpc_notfound_headers,,512455.9275198413,473593.56111111114,193663.5253053291,777410,777410,,117,,0,0,1
p2p_rpc_parallel_get_payloads_8,,865123.7710714287,804396.3333333333,274208.52490568307,1511751,1511751,,117,,0,2,7
p2p_rpc_payload_size_sweep,,2214798.457962963,2225545.537037037,220581.71192674089,7046250,7046250,,180,,0,25,15
p2p_rpc_retry_get_headers,,2557702356.5,2554916711,8754273.282696048,,,2572103136.050035,,11,,,
p2p_rpc_warm_start_get_headers,,416676.29291005287,369973.47222222225,126582.21469384537,774478,774478,,180,,0,12,4
p2p_two_hop_headers_gossip,,801697292,801613237.5,658890.3756286018,,,802781166.667909,,11,,,
