bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe,tp_ops
p2p_backpressure_inv_to_req_payload,,1193189207.733333,1190577808,11463134.15910979,,,1212046063.4250686,,,,,,
p2p_batch_headers_inv_rr,,762442.0834325396,726134.78125,129194.06670369676,1507961,1507961,,1,,0,0,0,
p2p_dedupe_ttl_payload_inv,,1201656385.6,1201545040.5,649875.9097927337,1201575890,1201575890,,1,,0,0,0,
p2p_header_announce_gossip,,21896387.73488095,21845220.145833336,527392.9363078342,21940832,21940832,,1,,0,0,0,
p2p_header_announce_gossip_hb_1s,,31664243.462103177,31687251.333333336,340818.6333393254,32840371,32840371,,1,,0,0,0,
p2p_header_announce_gossip_relaxed,,21960059.608412694,21953844.97777778,341802.26591758657,21555129,21555129,,1,,0,0,0,
p2p_inv_to_req_headers_missing,,363144.9357655489,287185.45946655667,167949.64804376406,,,639422.1067975408,,,,,,
p2p_inv_to_req_payload_missing,,616787.10510656,742971.8385397692,361657.5314186754,,,1211713.744290281,,,,,,
p2p_libp2p_e2e_inv_to_resp_headers,,381785.47194168647,377531.76964038727,23568.19368935435,1075258,1075258,,1,,0,0,0,
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,712468.6835912698,681210.9666666667,110230.6375580099,930198,930198,,1,,0,0,0,
p2p_libp2p_e2e_inv_to_resp_payloads,,372539.505,349573.1125,81406.44717663883,524735,524735,,1,,0,0,0,
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,715549.2468253969,700096.8055555555,66404.11225351131,998588,998588,,1,,0,0,0,
p2p_libp2p_rpc_get_headers,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,675101.4142460318,603930.125,235595.03396532623,1099771,1099771,,1,,0,0,0,
p2p_libp2p_rpc_get_payloads,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,607255.501765873,520043.5,207170.91856204328,747027,747027,,1,,0,0,0,
p2p_quic_rpc_warm_get_headers,,337302.39906746027,342973.375,86111.41022654668,432342,432342,,1,,0,0,0,
p2p_quic_rpc_warm_get_payloads,,1018487.6013492064,306251.15,2247527.2379975244,949781,949781,,1,,0,0,0,
p2p_ratelimit_inv_to_req_1rps,,843462485.8833333,843072196.75,1627222.9004338265,,,846139267.554547,,,,,,
p2p_rpc_cold_start_get_headers,,1964047.9661094868,1696403.7865497076,806438.5148371719,3471008,3471008,,1,,0,0,0,
p2p_rpc_notfound_headers,,524863.0049404762,485900.125,179364.14630987463,792511,792511,,1,,0,0,0,
p2p_rpc_parallel_get_payloads_8,,939933.251349206,897632.1428571428,170739.78383889975,1349777,1349777,,1,,0,0,0,
p2p_rpc_payload_size_sweep,,2264373.7171296296,2095505.6555555556,481471.265073432,1480956,1480956,,1,,0,0,0,
p2p_rpc_retry_get_headers,,2556114210.3,2554137533,4823755.716023173,,,2564049288.4528584,,1,,,,
p2p_rpc_warm_start_get_headers,,305948.4362169312,288745.9444444445,37384.98951279902,1390830,1390830,,1,,0,0,0,
p2p_throughput_headers,aeb35c79303f00a154080a0feb8393ef10ac2b2ec99e51fa942d6ca96253dd5b,20815599861,20815698428.5,905686.2297535008,,,20817089714.847946,,1345,,,,8262.832
p2p_two_hop_headers_gossip,,801774093.5,801743035,817760.271671248,,,803119309.1468992,,1,,,,
