bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe,tp_ops
p2p_backpressure_inv_to_req_payload,,1258543507.983333,1266589755.5,55486873.87631482,,,1349819415.509871,,,,,,
p2p_batch_headers_inv_rr,,897908.4918650795,821240.25,253699.14296010783,1395973,1395973,,62,,0,2,0,
p2p_dedupe_ttl_payload_inv,,1201522861.8,1201443206,507903.4373196018,1202381793,1202381793,,11,,0,0,0,
p2p_header_announce_gossip,,21642489.437698416,21678560.20238095,299859.60832090024,22451669,22451669,,62,,0,0,1,
p2p_header_announce_gossip_hb_1s,,31859558.622460324,31906670.55952381,224314.03020262843,32787146,32787146,,62,,0,0,0,
p2p_header_announce_gossip_relaxed,,21799331.037222225,21799370,321716.6454294502,22305091,22305091,,62,,0,0,0,
p2p_inv_to_req_headers_missing,,54843.20083233652,52223.989221792435,8069.158493645587,,,68116.96655438351,,,,,,
p2p_inv_to_req_payload_missing,,80153.95157170511,72165.262091135,27264.08156945047,,,125003.36575345113,,,,,,
p2p_libp2p_e2e_inv_to_resp_headers,,275156.31133945053,273911.4325950535,4720.394986667764,477735,477735,,57856,,0,4062,3691,
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,761160.8494841269,750347.3541666667,117034.38679371007,1026355,1026355,,62,,0,1,0,
p2p_libp2p_e2e_inv_to_resp_payloads,,449208.98230158736,365686.5555555555,238304.5442953234,517161,517161,,62,,0,0,1,
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,724545.3953571428,660765.1666666667,147073.9755411486,1423331,1423331,,62,,0,0,5,
p2p_libp2p_rpc_get_headers,449fc960fe7564cb9af8d80d9e3c32bd20a8289f38393406793ee4dbc9dbe5a5,675679.4403571428,522525.0416666667,368971.9504036933,953107,953107,,62,,0,2,2,
p2p_libp2p_rpc_get_payloads,449fc960fe7564cb9af8d80d9e3c32bd20a8289f38393406793ee4dbc9dbe5a5,567976.6609920635,543817.9285714286,159101.58231289245,1005058,1005058,,62,,0,5,2,
p2p_quic_rpc_warm_get_headers,,495915.4807539682,381354.1666666666,340063.5874550067,779373,779373,,62,,0,4,3,
p2p_quic_rpc_warm_get_payloads,,390065.28662698413,370279.125,110885.74395232549,537235,537235,,62,,0,2,0,
p2p_ratelimit_inv_to_req_1rps,,862205949.4416667,863157885.375,12106902.185628314,,,882121803.5370253,,,,,,
p2p_rpc_cold_start_get_headers,,2372605.2253461382,1883693.0900360143,1603148.5012549844,2569392,2569392,,7567,1,0.0001321353065539112,378,42,
p2p_rpc_notfound_headers,,559361.8713095237,538182.6666666666,242054.25220208452,1098591,1098591,,62,,0,4,0,
p2p_rpc_parallel_get_payloads_8,,1030159.5151190476,1006877.2,172853.00735098598,1514292,1514292,,62,,0,2,0,
p2p_rpc_payload_size_sweep,,2362114.097123016,2469833.01875,621116.1433332177,7588164,7588164,,125,,0,9,19,
p2p_rpc_retry_get_headers,,2553883984.4,2554008835,780538.0214442116,,,2555167969.445276,,11,,,,
p2p_rpc_warm_start_get_headers,,499228.3753439153,447410.3425925926,151766.65462160195,833217,833217,,180,,0,7,5,
p2p_throughput_headers,449fc960fe7564cb9af8d80d9e3c32bd20a8289f38393406793ee4dbc9dbe5a5,5405959181.05,5405887272,242457.7446142191,,,5406358024.03989,,1,,,,7451.554
p2p_two_hop_headers_gossip,,801311273.1,801325280,571109.3315001467,,,802250747.9503177,,11,,,,
